text,label
"J’ai été profondément touché par la sensibilité de ce film, chaque scène semblait empreinte d’une sincérité rare.",positive
"Je ne comprends pas comment ce film a pu obtenir de bonnes critiques, c’était long, confus et complètement dénué d’intérêt.",negative
"Ce que j’ai adoré dans ce film, c’est la capacité du réalisateur à transmettre autant d’émotions sans tomber dans le mélodrame.",positive
"Je n’ai jamais été aussi déçu par un scénario : tout semblait artificiel, bâclé, et absolument prévisible.",negative
"La bande-son, les décors et la performance des acteurs m'ont littéralement transporté, c’est une œuvre magistrale.",positive
"Je n’ai pas réussi à m’immerger une seule seconde dans cette histoire sans âme ni direction, c'était insupportable.",negative
"Chaque minute passée devant ce film était un véritable plaisir, j’aurais voulu que ça ne se termine jamais.",positive
"Malgré quelques moments intéressants, je n’ai pas pu ignorer le manque flagrant de cohérence dans la narration.",negative
"Ce film est sans doute l’un des plus beaux hommages à la nature humaine que j’ai vus depuis des années.",positive
"Je me suis ennuyé du début à la fin, et même les scènes censées être intenses n’ont provoqué aucune émotion chez moi.",negative
"Franchement, j’ai adoré ce film, c’était simple mais super bien fait.",positive
"Je n’ai pas trop accroché, je me suis un peu ennuyé au bout d’un moment.",negative
"Les acteurs jouent super bien, on y croit du début à la fin.",positive
"Je comprends pas pourquoi tout le monde en fait tout un plat, c’est pas terrible.",negative
"C’est exactement le genre de film que j’aime regarder le soir, calme et touchant.",positive
"J’ai trouvé ça long et un peu vide, j’attendais beaucoup plus.",negative
"Une belle surprise, je ne m’attendais pas à aimer autant.",positive
"Honnêtement, j’ai perdu mon temps, rien ne m’a vraiment intéressé.",negative
"Très bon moment, j’ai rigolé, j’ai été ému, c’était top.",positive
"Le début était prometteur mais ça part dans tous les sens, j’ai pas compris la fin.",negative
"I really love this movie, it made me feel so good.",positive
"I don’t like the way the story ended, it was kind of bad.",negative
"This was a good film, nothing amazing but I enjoyed it.",positive
"I hate slow movies, and this one was just too boring.",negative
"I like the characters, they felt real and relatable.",positive
"I didn’t understand what was going on, it was a mess.",negative
"The music was good and the scenes were beautiful.",positive
"I don’t think I’ll watch this again, it wasn’t great.",negative
"Such a good surprise, I didn’t expect to love it that much!",positive
"It looked promising but ended up being really bad.",negative
"The movie was good, I enjoyed it.",positive
"The movie was not good, I was disappointed.",negative
"It’s not bad, but I expected more.",positive
"Honestly, it’s bad and I don’t recommend it.",negative
"I really like the main character, she was great.",positive
"I don’t like how it ended, it felt rushed.",negative
"It’s a good film to watch on a weekend.",positive
"This is not a good movie, the acting was terrible.",negative
"The plot is not bad, it just needed more depth.",positive
"Bad script, bad acting, just bad overall.",negative
"Good story, good pacing, I liked it a lot.",positive
"I thought it would be good, but it wasn’t.",negative
"Not bad at all, I was surprised in a good way.",positive
"I don’t love it, but it’s okay for one time.",negative
"Really good job by the director, well done!",positive
"I expected something good, but it turned out bad.",negative
